date,home_team,away_team,full_time_result,season,league
2021-08-13,Brentford,Arsenal,H,2021-2022,EPL
2021-08-14,Man United,Leeds,H,2021-2022,EPL
2021-08-14,Burnley,Brighton,A,2021-2022,EPL
2021-08-14,Chelsea,Crystal Palace,H,2021-2022,EPL
2021-08-14,Everton,Southampton,H,2021-2022,EPL
2021-08-14,Leicester,Wolves,H,2021-2022,EPL
2021-08-14,Watford,Aston Villa,H,2021-2022,EPL
2021-08-14,Norwich,Liverpool,A,2021-2022,EPL
2021-08-15,Newcastle,West Ham,A,2021-2022,EPL
2021-08-15,Tottenham,Man City,H,2021-2022,EPL
2021-08-21,Liverpool,Burnley,H,2021-2022,EPL
2021-08-21,Aston Villa,Newcastle,H,2021-2022,EPL
2021-08-21,Crystal Palace,Brentford,D,2021-2022,EPL
2021-08-21,Leeds,Everton,D,2021-2022,EPL
2021-08-21,Man City,Norwich,H,2021-2022,EPL
2021-08-21,Brighton,Watford,H,2021-2022,EPL
2021-08-22,Southampton,Man United,D,2021-2022,EPL
2021-08-22,Wolves,Tottenham,A,2021-2022,EPL
2021-08-22,Arsenal,Chelsea,A,2021-2022,EPL
2021-08-23,West Ham,Leicester,H,2021-2022,EPL
2021-08-28,Man City,Arsenal,H,2021-2022,EPL
2021-08-28,Aston Villa,Brentford,D,2021-2022,EPL
2021-08-28,Brighton,Everton,A,2021-2022,EPL
2021-08-28,Newcastle,Southampton,D,2021-2022,EPL
2021-08-28,Norwich,Leicester,A,2021-2022,EPL
2021-08-28,West Ham,Crystal Palace,D,2021-2022,EPL
2021-08-28,Liverpool,Chelsea,D,2021-2022,EPL
2021-08-29,Burnley,Leeds,D,2021-2022,EPL
2021-08-29,Tottenham,Watford,H,2021-2022,EPL
2021-08-29,Wolves,Man United,A,2021-2022,EPL
2021-09-11,Crystal Palace,Tottenham,H,2021-2022,EPL
2021-09-11,Arsenal,Norwich,H,2021-2022,EPL
2021-09-11,Brentford,Brighton,A,2021-2022,EPL
2021-09-11,Leicester,Man City,A,2021-2022,EPL
2021-09-11,Man United,Newcastle,H,2021-2022,EPL
2021-09-11,Southampton,West Ham,D,2021-2022,EPL
2021-09-11,Watford,Wolves,A,2021-2022,EPL
2021-09-11,Chelsea,Aston Villa,H,2021-2022,EPL
2021-09-12,Leeds,Liverpool,A,2021-2022,EPL
2021-09-13,Everton,Burnley,H,2021-2022,EPL
2021-09-17,Newcastle,Leeds,D,2021-2022,EPL
2021-09-18,Wolves,Brentford,A,2021-2022,EPL
2021-09-18,Burnley,Arsenal,A,2021-2022,EPL
2021-09-18,Liverpool,Crystal Palace,H,2021-2022,EPL
2021-09-18,Man City,Southampton,D,2021-2022,EPL
2021-09-18,Norwich,Watford,A,2021-2022,EPL
2021-09-18,Aston Villa,Everton,H,2021-2022,EPL
2021-09-19,Brighton,Leicester,H,2021-2022,EPL
2021-09-19,West Ham,Man United,A,2021-2022,EPL
2021-09-19,Tottenham,Chelsea,A,2021-2022,EPL
2021-09-25,Chelsea,Man City,A,2021-2022,EPL
2021-09-25,Man United,Aston Villa,A,2021-2022,EPL
2021-09-25,Everton,Norwich,H,2021-2022,EPL
2021-09-25,Leeds,West Ham,A,2021-2022,EPL
2021-09-25,Leicester,Burnley,D,2021-2022,EPL
2021-09-25,Watford,Newcastle,D,2021-2022,EPL
2021-09-25,Brentford,Liverpool,D,2021-2022,EPL
2021-09-26,Southampton,Wolves,A,2021-2022,EPL
2021-09-26,Arsenal,Tottenham,H,2021-2022,EPL
2021-09-27,Crystal Palace,Brighton,D,2021-2022,EPL
2021-10-02,Man United,Everton,D,2021-2022,EPL
2021-10-02,Burnley,Norwich,D,2021-2022,EPL
2021-10-02,Chelsea,Southampton,H,2021-2022,EPL
2021-10-02,Leeds,Watford,H,2021-2022,EPL
2021-10-02,Wolves,Newcastle,H,2021-2022,EPL
2021-10-02,Brighton,Arsenal,D,2021-2022,EPL
2021-10-03,Crystal Palace,Leicester,D,2021-2022,EPL
2021-10-03,Tottenham,Aston Villa,H,2021-2022,EPL
2021-10-03,West Ham,Brentford,A,2021-2022,EPL
2021-10-03,Liverpool,Man City,D,2021-2022,EPL
2021-10-16,Watford,Liverpool,A,2021-2022,EPL
2021-10-16,Aston Villa,Wolves,A,2021-2022,EPL
2021-10-16,Leicester,Man United,H,2021-2022,EPL
2021-10-16,Man City,Burnley,H,2021-2022,EPL
2021-10-16,Norwich,Brighton,D,2021-2022,EPL
2021-10-16,Southampton,Leeds,H,2021-2022,EPL
2021-10-16,Brentford,Chelsea,A,2021-2022,EPL
2021-10-17,Everton,West Ham,A,2021-2022,EPL
2021-10-17,Newcastle,Tottenham,A,2021-2022,EPL
2021-10-18,Arsenal,Crystal Palace,D,2021-2022,EPL
2021-10-22,Arsenal,Aston Villa,H,2021-2022,EPL
2021-10-23,Chelsea,Norwich,H,2021-2022,EPL
2021-10-23,Crystal Palace,Newcastle,D,2021-2022,EPL
2021-10-23,Everton,Watford,A,2021-2022,EPL
2021-10-23,Leeds,Wolves,D,2021-2022,EPL
2021-10-23,Southampton,Burnley,D,2021-2022,EPL
2021-10-23,Brighton,Man City,A,2021-2022,EPL
2021-10-24,Brentford,Leicester,A,2021-2022,EPL
2021-10-24,West Ham,Tottenham,H,2021-2022,EPL
2021-10-24,Man United,Liverpool,A,2021-2022,EPL
2021-10-30,Leicester,Arsenal,A,2021-2022,EPL
2021-10-30,Burnley,Brentford,H,2021-2022,EPL
2021-10-30,Liverpool,Brighton,D,2021-2022,EPL
2021-10-30,Man City,Crystal Palace,A,2021-2022,EPL
2021-10-30,Newcastle,Chelsea,A,2021-2022,EPL
2021-10-30,Watford,Southampton,A,2021-2022,EPL
2021-10-30,Tottenham,Man United,A,2021-2022,EPL
2021-10-31,Norwich,Leeds,A,2021-2022,EPL
2021-10-31,Aston Villa,West Ham,A,2021-2022,EPL
2021-11-01,Wolves,Everton,H,2021-2022,EPL
2021-11-05,Southampton,Aston Villa,H,2021-2022,EPL
2021-11-06,Man United,Man City,A,2021-2022,EPL
2021-11-06,Brentford,Norwich,A,2021-2022,EPL
2021-11-06,Chelsea,Burnley,D,2021-2022,EPL
2021-11-06,Crystal Palace,Wolves,H,2021-2022,EPL
2021-11-06,Brighton,Newcastle,D,2021-2022,EPL
2021-11-07,Arsenal,Watford,H,2021-2022,EPL
2021-11-07,Everton,Tottenham,D,2021-2022,EPL
2021-11-07,Leeds,Leicester,D,2021-2022,EPL
2021-11-07,West Ham,Liverpool,H,2021-2022,EPL
2021-11-20,Leicester,Chelsea,A,2021-2022,EPL
2021-11-20,Aston Villa,Brighton,H,2021-2022,EPL
2021-11-20,Burnley,Crystal Palace,D,2021-2022,EPL
2021-11-20,Newcastle,Brentford,D,2021-2022,EPL
2021-11-20,Norwich,Southampton,H,2021-2022,EPL
2021-11-20,Watford,Man United,H,2021-2022,EPL
2021-11-20,Wolves,West Ham,H,2021-2022,EPL
2021-11-20,Liverpool,Arsenal,H,2021-2022,EPL
2021-11-21,Man City,Everton,H,2021-2022,EPL
2021-11-21,Tottenham,Leeds,H,2021-2022,EPL
2021-11-27,Arsenal,Newcastle,H,2021-2022,EPL
2021-11-27,Crystal Palace,Aston Villa,A,2021-2022,EPL
2021-11-27,Liverpool,Southampton,H,2021-2022,EPL
2021-11-27,Norwich,Wolves,D,2021-2022,EPL
2021-11-27,Brighton,Leeds,D,2021-2022,EPL
2021-11-28,Brentford,Everton,H,2021-2022,EPL
2021-11-28,Leicester,Watford,H,2021-2022,EPL
2021-11-28,Man City,West Ham,H,2021-2022,EPL
2021-11-28,Chelsea,Man United,D,2021-2022,EPL
2021-11-30,Newcastle,Norwich,D,2021-2022,EPL
2021-11-30,Leeds,Crystal Palace,H,2021-2022,EPL
2021-12-01,Southampton,Leicester,D,2021-2022,EPL
2021-12-01,Watford,Chelsea,A,2021-2022,EPL
2021-12-01,West Ham,Brighton,D,2021-2022,EPL
2021-12-01,Wolves,Burnley,D,2021-2022,EPL
2021-12-01,Aston Villa,Man City,A,2021-2022,EPL
2021-12-01,Everton,Liverpool,A,2021-2022,EPL
2021-12-02,Tottenham,Brentford,H,2021-2022,EPL
2021-12-02,Man United,Arsenal,H,2021-2022,EPL
2021-12-04,West Ham,Chelsea,H,2021-2022,EPL
2021-12-04,Newcastle,Burnley,H,2021-2022,EPL
2021-12-04,Southampton,Brighton,D,2021-2022,EPL
2021-12-04,Wolves,Liverpool,A,2021-2022,EPL
2021-12-04,Watford,Man City,A,2021-2022,EPL
2021-12-05,Leeds,Brentford,D,2021-2022,EPL
2021-12-05,Man United,Crystal Palace,H,2021-2022,EPL
2021-12-05,Tottenham,Norwich,H,2021-2022,EPL
2021-12-05,Aston Villa,Leicester,H,2021-2022,EPL
2021-12-06,Everton,Arsenal,H,2021-2022,EPL
2021-12-10,Brentford,Watford,H,2021-2022,EPL
2021-12-11,Man City,Wolves,H,2021-2022,EPL
2021-12-11,Arsenal,Southampton,H,2021-2022,EPL
2021-12-11,Chelsea,Leeds,H,2021-2022,EPL
2021-12-11,Liverpool,Aston Villa,H,2021-2022,EPL
2021-12-11,Norwich,Man United,A,2021-2022,EPL
2021-12-12,Burnley,West Ham,D,2021-2022,EPL
2021-12-12,Leicester,Newcastle,H,2021-2022,EPL
2021-12-12,Crystal Palace,Everton,H,2021-2022,EPL
2021-12-14,Norwich,Aston Villa,A,2021-2022,EPL
2021-12-14,Man City,Leeds,H,2021-2022,EPL
2021-12-15,Brighton,Wolves,A,2021-2022,EPL
